segment_id,left_x0,left_y0,left_x1,left_y1,right_x1,right_y1,right_x0,right_y0
171,4.241124475499581,49.168170282634655,3.375140314438721,50.55294452945461,1.4007432134877968,49.26125267607249,2.2391571670038157,47.92667268236736
172,3.375140314438721,50.55294452945461,2.54227619935174,51.848306553214705,0.5254575924399224,50.67777705116198,1.4007432134877968,49.26125267607249
173,2.54227619935174,51.848306553214705,1.675802213413411,53.23582335818193,-0.3249832087330367,52.005482882384875,0.5254575924399224,50.67777705116198
174,1.675802213413411,53.23582335818193,0.8151397194017911,54.620883265611965,-1.1632430143064467,53.3403787570656,-0.3249832087330367,52.005482882384875
175,0.8151397194017911,54.620883265611965,-0.0117193988916783,55.92233829636369,-2.024702433046738,54.65942511582086,-1.1632430143064467,53.3403787570656
176,-0.0117193988916783,55.92233829636369,-0.8880087981852126,57.30196918641558,-2.8842791024933616,56.08990853387922,-2.024702433046738,54.65942511582086
177,-0.8880087981852126,57.30196918641558,-1.7578260241654189,58.68546066776734,-3.7384783439726648,57.415327615766934,-2.8842791024933616,56.08990853387922
178,-1.7578260241654189,58.68546066776734,-2.591016689328172,59.9801039155364,-4.579440199208282,58.74822034978901,-3.7384783439726648,57.415327615766934
179,-2.591016689328172,59.9801039155364,-3.4583374053471103,61.36172204894902,-5.435204139057619,60.071862684984865,-4.579440199208282,58.74822034978901
180,-3.4583374053471103,61.36172204894902,-4.358488905830704,62.728601516335,-6.328892893576116,61.47613606856495,-5.435204139057619,60.071862684984865
181,-4.358488905830704,62.728601516335,-5.162172292441523,64.0395804599484,-7.175723651407644,62.80235829500955,-6.328892893576116,61.47613606856495
182,-5.162172292441523,64.0395804599484,-6.065550967576567,65.40003333760058,-8.040257636538326,64.12224228014024,-7.175723651407644,62.80235829500955
183,-6.065550967576567,65.40003333760058,-6.933053649571501,66.78793829317341,-8.92858197276665,65.53096661636856,-8.040257636538326,64.12224228014024
184,-6.933053649571501,66.78793829317341,-7.768236633559614,68.08152518212357,-9.791098257246665,66.84883290084858,-8.92858197276665,65.53096661636856
185,-7.768236633559614,68.08152518212357,-8.6643699153816,69.45096662186016,-10.622927622221098,68.18964782888494,-9.791098257246665,66.84883290084858
186,-8.6643699153816,69.45096662186016,-9.538576192895038,70.83204759389112,-11.477479504805792,69.51343794624941,-10.622927622221098,68.18964782888494
187,-9.538576192895038,70.83204759389112,-10.3583266771266,72.13673538837406,-12.370814838861603,70.92469948246351,-11.477479504805792,69.51343794624941
188,-10.3583266771266,72.13673538837406,-11.242974081925777,73.51276377792502,-13.21185490524545,72.25297149074446,-12.370814838861603,70.92469948246351
189,-11.242974081925777,73.51276377792502,-12.154438605369425,74.87209427085124,-14.093108852680109,73.55878893323629,-13.21185490524545,72.25297149074446
190,-12.154438605369425,74.87209427085124,-13.166425212097533,76.27380985569944,-14.952522605642692,74.76399813613132,-14.093108852680109,73.55878893323629
191,-13.166425212097533,76.27380985569944,-14.373728127137314,77.54616277073922,-15.9309089247137,75.78579356831561,-14.952522605642692,74.76399813613132
192,-14.373728127137314,77.54616277073922,-15.706998746280194,78.6511940895284,-17.077137696978546,76.73687234058045,-15.9309089247137,75.78579356831561
193,-15.706998746280194,78.6511940895284,-17.271744594461527,79.60727453298236,-18.25898980314461,77.46884992996209,-17.077137696978546,76.73687234058045
194,-17.271744594461527,79.60727453298236,-18.969608632306887,80.22571933023842,-19.54829038135504,77.94878755862335,-18.25898980314461,77.46884992996209
