segment_id,abs_kappa_01,abs_delta_kappa_01,abs_delta_psi_01,inv_d_inner_01,D_prior_local
348,0.0006606082,0.00019361799,0.00071343186,0.8145139,0.039726496
349,0.0005833971,0.0014611968,0.00010303557,0.799312,0.0338548
350,1.2221872e-05,0.0013703124,0.00020748627,0.8137616,0.039176013
351,0.0004799585,1.45506765e-05,0.0015212839,0.10101783,-0.24072541
352,0.0004873886,0.0014919316,0.0004622069,0.09250027,-0.2437694
353,5.2185664e-05,0.0023643773,0.00071320025,0.801193,0.034786485
354,0.0009753222,0.0019094755,0.0014958438,0.8101378,0.03922794
355,0.0017211875,5.3522485e-06,0.0017679356,0.78949404,0.030924559
356,0.0017250332,0.0024603412,0.0005334154,0.8177369,0.04269688
357,0.0007645003,0.0038958406,0.00044299397,0.79759,0.034420088
358,0.0007118559,0.003187883,0.001434401,0.08292109,-0.24619912
359,0.0019559052,0.0007664971,0.0019833103,0.09470338,-0.24153489
360,0.0022563622,0.0017846164,0.001364736,0.07682401,-0.24788213
361,0.0015591533,0.0032332733,9.944053e-05,0.059838355,-0.25470114
362,0.00029741574,0.0033029248,0.0011829245,0.0763852,-0.24901566
363,0.0009478864,0.0010620832,0.0013275538,0.8304769,0.04692099
364,0.0013635305,0.0024457667,0.0010715752,0.83138114,0.048063707
365,0.00040867727,0.005611709,9.2583476e-05,0.844185,0.05328268
366,0.0017363374,0.007939363,0.0023881446,0.03507656,-0.26120272
367,0.0048319963,0.0097049875,0.003243489,0.050091863,-0.25230005
368,0.008615702,0.0103773065,0.005025321,0.0313437,-0.2555656
369,0.012661405,0.010667435,0.0070327986,0.047168255,-0.24573906
370,0.01682017,0.010316726,0.008213542,0.037318885,-0.24600281
371,0.020842265,0.008143015,0.010708606,0.038243532,-0.24250844
372,0.024017286,0.0048182486,0.012192962,0.060023427,-0.23258613
373,0.025896674,0.0018130142,0.011789032,0.06916791,-0.22899078
374,0.026604949,0.0002826817,0.010534811,0.11070305,-0.21371152
375,0.026716867,0.0031473264,0.009774317,0.1304478,-0.20526995
376,0.027945114,0.013059395,0.010062866,0.18279779,-0.18023479
377,0.033036,0.027217314,0.01288159,0.21842915,-0.15582941
378,0.043644104,0.039670628,0.02122536,0.27256066,-0.11809783
379,0.05910515,0.044033166,0.032742664,0.33787405,-0.07367166
